Collector,CRMBatch,CRMCertpHNBS,CRMCertpHSW,CRMCorrection,Date,Intercept,JarID,pH1,pH10_1,pH10_2,pH10_3,pH10Avg,pH2,pH3,pH7_1,pH7_2,pH7_3,pH7Avg,pHAvg,pHChecksNotes,pHCRM_1,pHCRM_2,pHCRM_3,pHCRMAvg,pHCRMNBSCorr,pHNBSCorr,pHSWCorr,Slope,Temp
Ffion,177,,,-8.005780347,20190524,7.121387283,J201_B2,-31,-166,-166,-166,-166,-31,-31,7,7,7,7,-31,,-51,-51,-51,-51,8.005780347,7.658959538,-0.346820809,-0.01734104,21.4
Ffion,177,,,-8.011560694,20190531,7.12716763,J201_B2,-32,-166,-166,-165,-165.6666667,-31,-31,7,7,8,7.333333333,-31.33333333,,-51,-51,-51,-51,8.011560694,7.670520231,-0.341040462,-0.01734104,18.9
Ffion,177,7.95,7.813,-0.247836502,20190319,7.102661597,J267_B3,-36,-169,-169,-170,-169.3333333,-35,-35,6,6,6,6,-35.33333333,,-57,-56,-55,-56,8.060836502,7.707224335,7.459387833,-0.017110266,20.4
Ffion,177,,,-8.011494253,20190510,7.120689655,J267_B3,-32,-167,-167,-167,-167,-32,-32,7,7,7,7,-32,,-52,-52,-51,-51.66666667,8.011494253,7.672413793,-0.33908046,-0.017241379,20.2
Ffion,177,,,-7.998087954,20190517,7.137667304,J267_B3,-31,-166,-167,-166,-166.3333333,-32,-31,8,8,8,8,-31.33333333,,-50,-50,-50,-50,7.998087954,7.676864245,-0.321223709,-0.017208413,20.7
Ffion,177,,,-8.005780347,20190524,7.121387283,J267_B3,-31,-166,-166,-166,-166,-31,-30,7,7,7,7,-30.66666667,,-51,-51,-51,-51,8.005780347,7.653179191,-0.352601156,-0.01734104,21.4
Ffion,177,,,-8.011560694,20190531,7.12716763,J267_B3,-31,-166,-166,-165,-165.6666667,-31,-31,7,7,8,7.333333333,-31,,-51,-51,-51,-51,8.011560694,7.664739884,-0.346820809,-0.01734104,18.9
Ffion,177,7.95,7.813,-0.247836502,20190319,7.102661597,J269_B2,-41,-169,-169,-170,-169.3333333,-42,-42,6,6,6,6,-41.66666667,,-57,-56,-55,-56,8.060836502,7.815589354,7.567752852,-0.017110266,20.4
Ffion,177,,,-8.011494253,20190510,7.120689655,J269_B2,-33,-167,-167,-167,-167,-34,-34,7,7,7,7,-33.66666667,,-52,-52,-51,-51.66666667,8.011494253,7.701149425,-0.310344828,-0.017241379,20.2
Ffion,177,,,-7.998087954,20190517,7.137667304,J269_B2,-34,-166,-167,-166,-166.3333333,-34,-34,8,8,8,8,-34,,-50,-50,-50,-50,7.998087954,7.722753346,-0.275334608,-0.017208413,20.7
Ffion,177,,,-8.005780347,20190524,7.121387283,J269_B2,-32,-166,-166,-166,-166,-32,-32,7,7,7,7,-32,,-51,-51,-51,-51,8.005780347,7.676300578,-0.329479769,-0.01734104,21.4
Ffion,177,,,-8.011560694,20190531,7.12716763,J269_B2,-32,-166,-166,-165,-165.6666667,-32,-32,7,7,8,7.333333333,-32,,-51,-51,-51,-51,8.011560694,7.682080925,-0.329479769,-0.01734104,18.9
Ffion,177,7.95,7.813,-0.247836502,20190319,7.102661597,J282_B2,-37,-169,-169,-170,-169.3333333,-37,-37,6,6,6,6,-37,,-57,-56,-55,-56,8.060836502,7.735741445,7.487904943,-0.017110266,20.4
Ffion,177,,,-8.011494253,20190510,7.120689655,J282_B2,-31,-167,-167,-167,-167,-31,-31,7,7,7,7,-31,,-52,-52,-51,-51.66666667,8.011494253,7.655172414,-0.356321839,-0.017241379,20.2
Ffion,177,,,-7.998087954,20190517,7.137667304,J282_B2,-31,-166,-167,-166,-166.3333333,-31,-31,8,8,8,8,-31,,-50,-50,-50,-50,7.998087954,7.671128107,-0.326959847,-0.017208413,20.7
Ffion,177,,,-8.005780347,20190524,7.121387283,J282_B2,-32,-166,-166,-166,-166,-31,-32,7,7,7,7,-31.66666667,,-51,-51,-51,-51,8.005780347,7.670520231,-0.335260116,-0.01734104,21.4
Ffion,177,,,-8.011560694,20190531,7.12716763,J282_B2,-32,-166,-166,-165,-165.6666667,-32,-32,7,7,8,7.333333333,-32,,-51,-51,-51,-51,8.011560694,7.682080925,-0.329479769,-0.01734104,18.9
Ffion,177,7.95,7.813,-0.247836502,20190319,7.102661597,J285_B3,-36,-169,-169,-170,-169.3333333,-35,-35,6,6,6,6,-35.33333333,,-57,-56,-55,-56,8.060836502,7.707224335,7.459387833,-0.017110266,20.4
Ffion,177,,,-8.011494253,20190510,7.120689655,J285_B3,-29,-167,-167,-167,-167,-29,-29,7,7,7,7,-29,,-52,-52,-51,-51.66666667,8.011494253,7.620689655,-0.390804598,-0.017241379,20.2
Ffion,177,,,-7.998087954,20190517,7.137667304,J285_B3,-30,-166,-167,-166,-166.3333333,-30,-30,8,8,8,8,-30,,-50,-50,-50,-50,7.998087954,7.653919694,-0.34416826,-0.017208413,20.7
Ffion,177,,,-8.005780347,20190524,7.121387283,J285_B3,-30,-166,-166,-166,-166,-30,-30,7,7,7,7,-30,,-51,-51,-51,-51,8.005780347,7.641618497,-0.36416185,-0.01734104,21.4
Ffion,177,,,-8.011560694,20190531,7.12716763,J285_B3,-30,-166,-166,-165,-165.6666667,-30,-30,7,7,8,7.333333333,-30,,-51,-51,-51,-51,8.011560694,7.647398844,-0.36416185,-0.01734104,18.9
