date,Tank,ParentTrt,mV_1,mV_2,mV_3,mV_mean,salinity_1,salinity_2,salinity_3,sal_mean,pH_batch,pH_meas,NBScorr,pHNBS,Swcorr,pHSW,salinity_batch,salinity,temperature,Exposure_vals,Block,bottle_sample,bottle_ID_AUTO,rundate_DDMMMYYYY,Ries_ID_AUTO,Actual_Ries_ID,Recalculated,Flag,UseForCalcite,mV,VindtaTemp,DIC_raw,DIC_corr,DIC_fromAlk,Alk_raw,Alk_corr,AT_Calc_NBS,pCO2_NBS,HCO3_NBS,CO3_NBS,CO2_NBS,SatCalcite_NBS,SatArag_NBS,AT_Calc_SW,pCO2_SW,HCO3_SW,CO3_SW,CO2_SW,SatCalcite_SW,SatArag_SW,pCO2_ATDIC,HCO3_ATDIC,CO3_ATDIC,CO2_ATDIC,SatCalcite_ATDIC,SatArag_ATDIC
20180610,Test_3-2,Test,-52,-52,-52,-52,22,22,22,22,3,7.291428571,0.1511928,7.442621371,-0.138150177,7.304471194,3,21.912,19.5,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180610,Test_4-2,Test,-35,-35,-35,-35,21.5,21.5,21.5,21.5,3,7,0.1477428,7.1477428,-0.138150177,7.009592623,3,21.412,19.6,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180611,1,2600,-36,-35,-35,-35.33333333,22,22,22,22,4,7.005714286,0.1511928,7.156907086,-0.138150177,7.018756908,4,21.912,20.3,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180611,2,2600,-35,-34,-35,-34.66666667,22,22,21.9,21.96666667,4,6.994285714,0.1505028,7.144788514,-0.138150177,7.006638337,4,21.812,20.4,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180611,3,2600,-36,-37,-36,-36.33333333,22,22,22,22,4,7.022857143,0.1511928,7.174049943,-0.138150177,7.035899765,4,21.912,20.3,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180620,4,400,-64,-64,-64,-64,19.5,19.5,19.4,19.46666667,11,7.558139535,0.1341728,7.692312335,-0.138150177,7.554162157,11,19.44533333,19.7,PRE-EXPOSURE,B1,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180620,24,400,-64,-64,-64,-64,19.5,19.4,19.4,19.43333333,11,7.558139535,0.1341728,7.692312335,-0.138150177,7.554162157,11,19.44533333,19.4,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180620,5,400,-65,-64,-64,-64.33333333,19.6,19.6,19.6,19.6,11,7.563953488,0.1355528,7.699506288,-0.138150177,7.561356111,11,19.64533333,19.4,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180611,7,2600,-48,-48,-48,-48,22.2,22.2,22.2,22.2,4,7.222857143,0.1525728,7.375429943,-0.138150177,7.237279765,4,22.112,20.4,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180611,8,2600,-48,-48,-48,-48,22.3,22.2,22.2,22.23333333,4,7.222857143,0.1525728,7.375429943,-0.138150177,7.237279765,4,22.112,20.5,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180611,9,2600,-49,-49,-49,-49,22.2,22.2,22.2,22.2,4,7.24,0.1525728,7.3925728,-0.138150177,7.254422623,4,22.112,20.5,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180615,22,400,-67,-67,-67,-67,19.8,19.8,19.8,19.8,7,7.567877629,0.1371628,7.705040429,-0.138150177,7.566890252,7,19.87866667,19.2,PRE-EXPOSURE,B1,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180618,16,400,-65,-65,-65,-65,19.8,19.8,19.8,19.8,8,7.569767442,0.1373928,7.707160242,-0.138150177,7.569010064,8,19.912,19.5,PRE-EXPOSURE,B1,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180618,18,400,-65,-65,-65,-65,19.9,19.8,19.8,19.83333333,8,7.569767442,0.1373928,7.707160242,-0.138150177,7.569010064,8,19.912,19.6,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180611,13,2600,-38,-37,-37,-37.33333333,22.1,22.1,22.1,22.1,4,7.04,0.1518828,7.1918828,-0.138150177,7.053732623,4,22.012,19.2,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180611,14,2600,-35,-35,-35,-35,22.1,22.2,22.1,22.13333333,4,7,0.1518828,7.1518828,-0.138150177,7.013732623,4,22.012,19.5,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180611,15,2600,-38,-38,-38,-38,22.2,22.1,22.1,22.13333333,4,7.051428571,0.1518828,7.203311371,-0.138150177,7.065161194,4,22.012,19.3,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180618,17,400,-65,-65,-65,-65,19.9,19.9,19.9,19.9,8,7.569767442,0.1380828,7.707850242,-0.138150177,7.569700064,8,20.012,19.4,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180620,10,400,-65,-65,-65,-65,19.2,19.2,19.1,19.16666667,11,7.575581395,0.1321028,7.707684195,-0.138150177,7.569534018,11,19.14533333,19.8,PRE-EXPOSURE,B1,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180615,24,400,-67,-67,-68,-67.33333333,19.8,19.8,19.8,19.8,7,7.573613767,0.1371628,7.710776567,-0.138150177,7.572626389,7,19.87866667,19.3,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180611,19,2600,-37,-37,-37,-37,21.5,21.4,21.4,21.43333333,4,7.034285714,0.1470528,7.181338514,-0.138150177,7.043188337,4,21.312,21.4,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180611,20,2600,-36,-37,-37,-36.66666667,21.5,21.5,21.5,21.5,4,7.028571429,0.1477428,7.176314229,-0.138150177,7.038164051,4,21.412,21.9,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180611,21,2600,-35,-35,-35,-35,21.5,21.5,21.5,21.5,4,7,0.1477428,7.1477428,-0.138150177,7.009592623,4,21.412,21.7,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180620,12,400,-65,-65,-65,-65,19.2,19.1,19.2,19.16666667,11,7.575581395,0.1327928,7.708374195,-0.138150177,7.570224018,11,19.24533333,19.7,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180620,6,400,-65,-65,-65,-65,19.5,19.5,19.4,19.46666667,11,7.575581395,0.1341728,7.709754195,-0.138150177,7.571604018,11,19.44533333,19.7,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180620,23,400,-65,-65,-65,-65,19.5,19.5,19.4,19.46666667,11,7.575581395,0.1341728,7.709754195,-0.138150177,7.571604018,11,19.44533333,19.6,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
