EggImageID,FemaleID,EggAreaPix2,EggAreaum2,EggCompactness,EggDiamum,EggEccentricity,EggExtent,EggFormFactor,EggMajorAxisLengthPix,EggMaxFeretDiameterPix,EggMaxRadiusPix,EggMeanRadiusPix,EggMedianRadiusPix,EggMinFeretDiameterPix,EggMinorAxisLengthPix,EggMorphNotes,EggObjectNumber,EggPerimeterPix,EggSolidity
CF06_B2_eggs-0006_outline,CF06_B2,69541,879.5125147,1.00165913,34.74742565,0.301700282,0.799174864,0.898808177,304.1598517,308.9741089,145,49.50276849,43.56604182,290.3207176,289.9868608,NA,1,986.034,0.993173282
CF05_B3_eggs-0008_outline,CF05_B3,71108,899.3309831,1.004804643,35.34074456,0.344345363,0.782507263,0.885729447,310.2961954,314.2499006,143.3910736,49.34576763,43.56604182,294.5458042,291.3194262,NA,1,1004.416,0.988118894
CF04_B3_eggs-0025_outline,CF04_B3,73751,932.7580489,1.00110516,35.35291004,0.215809876,0.795467783,0.887849781,309.5587941,314.3580761,148.4856895,50.61875909,44.55333882,300.4881411,302.2641661,NA,1,1021.69,0.99048476
CF02_B1_eggs_-0023_outline,CF02_B1,74213,938.6011455,1.000997535,35.32696387,0.275586654,0.79270455,0.894794785,312.8711355,314.1273627,149.040263,51.0944204,44.94441011,298.8981959,300.7555865,NA,1,1020.9,0.992139143
CF05_B3_eggs-0005_outline,CF05_B3,74371,940.5994339,1.042811811,40.37587533,0.559741822,0.823143331,0.833735472,341.4296671,359.0222834,133,47.72042405,42.72001873,277,282.9315177,NA,1,1058.748,0.982917787
EF05_B1_eggs-0008_outline,EF05_B1,74961,948.0613971,1.001185446,35.42706475,0.276330938,0.787885476,0.895926046,314.5065035,315.0174598,150.0533239,51.45156713,45.22167622,300.7740798,302.2604202,NA,1,1025.384,0.993374061
CF04_B3_eggs-0024_outline,CF04_B3,75176,950.7805871,1.0079208,37.2163163,0.466311423,0.779308558,0.893316763,328.2822198,330.9274845,144.8378404,51.11559131,45.17742799,290.0205639,290.4052236,NA,1,1028.352,0.993104177
EF03_B2_eggs-0028_outline,EF03_B2,81132,1026.108473,1.000829229,37.18282751,0.248907552,0.797405278,0.904778789,325.9160227,330.6297022,156.7067325,53.50881193,47.01063709,313.9980855,315.6585487,NA,1,1061.524,0.993722786
CF04_B3_eggs-0003_outline,CF04_B3,81401,1029.510623,1.001345061,37.19303033,0.2140039,0.810081107,0.902032011,325.1871014,330.7204257,157.3086139,53.42364645,47.01063709,314,317.6534287,NA,1,1064.9,0.993040264
EF04_B1_eggs-0013_outline,EF04_B1,81926,1036.150505,1.0008842,37.27760599,0.25631381,0.797799201,0.899031213,327.8320776,331.4724725,157.318149,53.79329257,47.38143096,314,316.8803954,NA,1,1070.11,0.993180868
CF04_B3_eggs-0028_outline,CF04_B3,82490,1043.283636,1.001401293,37.74524848,0.271738656,0.805574273,0.897170617,329.7381642,335.6307495,157.1909667,53.80356722,47.41307836,314.3303994,317.3304745,NA,1,1074.9,0.993460431
EF06_B1_eggs-0018_outline,EF06_B1,84128,1064.00007,1.001393423,37.63468014,0.284054351,0.777293222,0.900754497,333.5868617,334.6475758,158.2213639,54.41936536,48,317.4062869,319.8458117,NA,1,1083.358,0.993968466
