"CrossID","ParentTrt","MaleID","FemaleID","TrtTankID","MaleTrtTankID","AccTankID","Block","SatArag_ATDIC","MeanLarvSurvivedCon","SELarvSurvivedCon","MeanGPDCon","MeanLarvSurvivedExp","SELarvSurvivedExp","MeanGPDExp","RatSurv","RatGPD","SurvChange","OACont_Perc"
"EF05_EM05_B1_QG","2600","EM05_B1","EF05_B1","13","7","28","B1",0.255,532.5,13.9672235370289,5.16759079749808,506.833333333333,41.988424330734,2.33694906083142,0.951799687010954,0.452231833442166,0.0482003129890461,-0.0482003129890461
"EF05_EM06_B1_QG","2600","EM06_B1","EF05_B1","13","1","28","B1",0.255,817.5,48.5806888931531,5.19419138094253,690,21.3619599600162,1.74758384472031,0.844036697247706,0.336449644718943,0.155963302752294,-0.155963302752294
"EF06_EM01_B1_QG","2600","EM01_B1","EF06_B1","7","1","29","B1",0.27,446.166666666667,51.426592774988,4.94667432692593,436.666666666667,6.00925212577332,1.76357590681481,0.978707508404931,0.356517488368952,0.0212924915950691,-0.0212924915950691
"EF06_EM02_B1_QG","2600","EM02_B1","EF06_B1","7","19","29","B1",0.27,155.166666666667,35.7378573006895,4.90615520237037,203.833333333333,12.104865871945,1.72442712648148,1.31364124597207,0.351482383934437,-0.313641245972068,0.313641245972068
"EF06_EM06_B1_QG","2600","EM06_B1","EF06_B1","7","1","29","B1",0.27,711.666666666667,48.087882511548,4.92922575437037,653,19.4250697124446,0.828236721703702,0.917564402810304,0.168025723100503,0.0824355971896959,-0.0824355971896959
"EF07_EM01_B1_QG","2600","EM01_B1","EF07_B1","13","1","30","B1",0.255,700.333333333333,39.9847193034761,4.67028447455556,654.833333333333,31.694286200793,1.82321290022222,0.935030937648739,0.39038583412967,0.0649690623512613,-0.0649690623512613
"EF07_EM02_B1_QG","2600","EM02_B1","EF07_B1","13","19","30","B1",0.255,478.833333333333,17.9497756098633,4.85938232755556,408.666666666667,16.6966397151576,1.82697860266667,0.853463278802647,0.375969306285415,0.146536721197353,-0.146536721197353
"EF07_EM03_B1_QG","2600","EM03_B1","EF07_B1","13","7","30","B1",0.255,381.833333333333,28.1281788327016,3.84416538844444,406.5,8.04673846971554,1.37717324744444,1.06460061108686,0.358250259362987,-0.0646006110868626,0.0646006110868626
"EF08_EM02_B1_QG","2600","EM02_B1","EF08_B1","7","19","30","B1",0.27,584.833333333333,18.9787893303141,5.33833395090422,367.166666666667,135.195023741425,1.14450724745977,0.627814192077516,0.214394089614028,0.372185807922484,-0.372185807922484
"EF08_EM03_B1_QG","2600","EM03_B1","EF08_B1","7","7","30","B1",0.27,662,41.2350983184633,4.73060039712644,566,51.597803570824,0.867004848126438,0.854984894259819,0.183275858314537,0.145015105740181,-0.145015105740181
"EF08_EM04_B1_QG","2600","EM04_B1","EF08_B1","7","13","30","B1",0.27,719.166666666667,31.1800327845313,4.89802472934866,600,61.7946869345038,0.958201132570883,0.834298957126303,0.1956301132637,0.165701042873697,-0.165701042873697
